BubbleSort;Sorted;Random;BackwardSorted;SortedRandomFirst;BackwardSortedRandomLast;
100;0;0.001;0;0;0.001;
200;0;0.001;0.003;0;0.002;
300;0;0.003;0.005;0;0.004;
400;0;0.007;0.007;0;0.008;
500;0;0.01;0.013;0;0.013;
600;0;0.014;0.017;0;0.018;
700;0;0.02;0.025;0;0.025;
800;0.001;0.026;0.032;0;0.031;
900;0;0.033;0.04;0;0.042;
1000;0;0.04;0.051;0;0.053;
1100;0;0.056;0.075;0;0.073;
1200;0;0.073;0.09;0;0.081;
1300;0;0.081;0.111;0.001;0.103;
1400;0;0.099;0.113;0.001;0.1;
1500;0;0.092;0.113;0.001;0.115;
1600;0;0.101;0.126;0;0.128;
1700;0;0.116;0.144;0;0.142;
1800;0;0.133;0.172;0;0.248;
1900;0;0.2;0.23;0;0.242;
2000;0;0.245;0.324;0.001;0.226;
2100;0;0.199;0.254;0;0.231;
