HeapSort;Sorted;Random;BackwardSorted;SortedRandomFirst;BackwardSortedRandomLast;
100;8952;8376;7988;8932;7992;
200;29344;28284;27218;29266;27286;
300;60230;58582;57114;60166;57078;
400;101420;99392;97288;101456;97230;
500;152842;150104;147674;152808;147626;
600;214492;211448;208286;214600;208386;
700;286500;283134;279152;286464;279046;
800;368510;364632;360128;368462;360046;
900;460548;455638;451230;460460;451146;
1000;562760;557686;551946;562704;551944;
1100;675038;669510;663634;675126;663568;
