InsertionSort;Sorted;Random;BackwardSorted;SortedRandomFirst;BackwardSortedRandomLast;
100;0;0;0;0;0;
200;0;0.001;0;0;0.001;
300;0;0.001;0.002;0;0.002;
400;0;0.002;0.003;0;0.003;
500;0;0.003;0.005;0;0.005;
600;0;0.003;0.008;0;0.008;
700;0;0.005;0.01;0;0.014;
800;0;0.008;0.016;0.001;0.025;
900;0;0.013;0.022;0;0.02;
1000;0;0.013;0.025;0;0.026;
1100;0;0.016;0.032;0;0.031;
1200;0;0.018;0.038;0;0.037;
1300;0;0.031;0.043;0;0.04;
1400;0;0.025;0.055;0.001;0.052;
1500;0;0.029;0.062;0.001;0.073;
1600;0;0.034;0.067;0;0.07;
1700;0;0.043;0.086;0;0.069;
1800;0;0.033;0.08;0;0.073;
1900;0;0.041;0.078;0;0.082;
2000;0;0.042;0.085;0;0.086;
2100;0;0.051;0.096;0;0.094;
