QuickSort;Sorted;Random;BackwardSorted;SortedRandomFirst;BackwardSortedRandomLast;
100;20394;2282;15394;20262;8542;
200;80794;5642;60794;80122;27386;
300;181194;9466;136194;180558;52932;
400;321594;12084;241594;321490;205630;
500;501994;18876;376994;500154;152042;
600;722394;20350;542394;721906;315838;
700;982794;22654;737794;980954;540940;
800;1283194;27580;963194;1283142;599756;
900;1623594;35576;1218594;1621494;599202;
1000;2003994;36708;1503994;2001110;967672;
1100;2424394;39698;1819394;2423670;695336;
